Date,Tweet_ID,Username,Content,URL
2025-02-23,2097783610944,@taxbuster,Loved the emphasis on clean energy and sustainability!,https://twitter.com/taxbuster/status/2097783610944
2025-03-16,5492368699879,@startupbuddy,"Too much focus on startups, not enough for agriculture.",https://twitter.com/startupbuddy/status/5492368699879
2025-02-18,5392074834536,@commonman123,More allocation to healthcare is a welcome move.,https://twitter.com/commonman123/status/5392074834536
2025-03-08,3928156117274,@bharatfirst,"This is a budget for the rich, not the middle class.",https://twitter.com/bharatfirst/status/3928156117274
2025-03-03,9122345186066,@aamjanta,"Too much focus on startups, not enough for agriculture.",https://twitter.com/aamjanta/status/9122345186066
2025-04-08,4758428974200,@taxbuster,MSME sector got a boost. Hope it helps local businesses.,https://twitter.com/taxbuster/status/4758428974200
2025-03-12,1944798434173,@indiapolitics,Where is the support for the salaried class?,https://twitter.com/indiapolitics/status/1944798434173
2025-03-02,4139103461776,@indiapolitics,More allocation to healthcare is a welcome move.,https://twitter.com/indiapolitics/status/4139103461776
2025-03-20,1031243835810,@bharatfirst,Disappointed with no tax relief in this year’s budget.,https://twitter.com/bharatfirst/status/1031243835810
2025-03-29,6221803854317,@bharatfirst,MSME sector got a boost. Hope it helps local businesses.,https://twitter.com/bharatfirst/status/6221803854317
2025-02-19,1792327111243,@middleclasswarrior,Disappointed with no tax relief in this year’s budget.,https://twitter.com/middleclasswarrior/status/1792327111243
2025-03-23,2770515360485,@taxbuster,Where is the support for the salaried class?,https://twitter.com/taxbuster/status/2770515360485
2025-03-14,6684336061807,@eco_voice,The infrastructure spending plan looks solid this year.,https://twitter.com/eco_voice/status/6684336061807
2025-04-02,5989970870549,@startupbuddy,Budget 2025 finally addresses the education sector. Much needed!,https://twitter.com/startupbuddy/status/5989970870549
2025-04-07,1184728361350,@startupbuddy,Great step towards digital India. #Budget2025,https://twitter.com/startupbuddy/status/1184728361350
2025-03-27,1650925510905,@taxbuster,Disappointed with no tax relief in this year’s budget.,https://twitter.com/taxbuster/status/1650925510905
2025-03-31,8086970726147,@taxbuster,Loved the emphasis on clean energy and sustainability!,https://twitter.com/taxbuster/status/8086970726147
2025-04-05,7751019342676,@budgetwatch,Budget 2025 finally addresses the education sector. Much needed!,https://twitter.com/budgetwatch/status/7751019342676
2025-03-29,1676056956411,@budgetwatch,Budget 2025 finally addresses the education sector. Much needed!,https://twitter.com/budgetwatch/status/1676056956411
2025-03-07,5412391205481,@commonman123,"This is a budget for the rich, not the middle class.",https://twitter.com/commonman123/status/5412391205481
2025-02-05,4680211942306,@startupbuddy,Disappointed with no tax relief in this year’s budget.,https://twitter.com/startupbuddy/status/4680211942306
2025-04-06,2474149546853,@bharatfirst,Budget 2025 finally addresses the education sector. Much needed!,https://twitter.com/bharatfirst/status/2474149546853
2025-02-02,8479281442011,@taxbuster,Budget 2025 finally addresses the education sector. Much needed!,https://twitter.com/taxbuster/status/8479281442011
2025-03-20,1658073823791,@aamjanta,Budget 2025 finally addresses the education sector. Much needed!,https://twitter.com/aamjanta/status/1658073823791
2025-03-03,3296734298224,@bharatfirst,"This is a budget for the rich, not the middle class.",https://twitter.com/bharatfirst/status/3296734298224
2025-04-04,8867798778224,@commonman123,Budget 2025 finally addresses the education sector. Much needed!,https://twitter.com/commonman123/status/8867798778224
2025-04-06,3925375661067,@middleclasswarrior,More allocation to healthcare is a welcome move.,https://twitter.com/middleclasswarrior/status/3925375661067
2025-03-06,7724228300621,@youthvoice,More allocation to healthcare is a welcome move.,https://twitter.com/youthvoice/status/7724228300621
